district,flood_risk,drought_risk
dakshin dinajpur,0.1659,0.5
dakshina kannada,0.1841,0.7285
daman,0.0327,0.5
damoh,0.0664,0.7439
dangs,0.0584,0.6655
darbhanga,0.3579,0.6684
darjeeling,0.1537,0.6268
darjeelingm,0.0022,0.5
darjiling,0.0406,0.5
darrang,0.5896,0.7041
datia,0.0718,0.6613
dausa,0.043,0.5
davanagere,0.0071,0.5
davangere,0.0693,0.5
debagarh,0.0005,0.5
dehradun,0.0984,0.5872
deogarh,0.0433,0.5
deoghar,0.0258,0.5
deoria,0.2841,0.4915
devbhumi dwarka,0.0027,0.5
devbhumi dwarka dwarka,0.0606,0.5
dewas,0.048,0.693
dhalai,0.0569,0.5
dhamtari,0.0075,0.5
dhanbad,0.0109,0.6983
dhar,0.0546,0.7116
dharashiv,0.0952,0.5
dharmapuri,0.0377,0.5
dharwad,0.1272,0.7756
dhaulpur,0.0589,0.5
dhemaji,0.6359,0.5
dhenkanal,0.0793,0.6388
dholpur,0.0519,0.5
dhubri,0.4616,0.5
dhule,0.0589,0.732
dibang valley,0.0541,0.5
dibrugarh,0.5877,0.6814
different  jammu,0.0022,0.5
dima hasao,0.2082,0.5
dimapur,0.0428,0.5
dindigul,0.0492,0.5
dindori,0.0545,0.5
districts,0.0087,0.5
districts of assam,0.0043,0.5
districts of cauvery delta,0.0022,0.5
districts of cauvery delta zone,0.0022,0.5
districts of orissa,0.0022,0.5
districts of rajasthan,0.0022,0.5
diu,0.0174,0.5
doda,0.0772,0.5
dohad,0.0027,0.5
dumka,0.0135,0.5
dungarpur,0.0367,0.7149
durg,0.0373,0.7758
east,0.0432,0.5
east  west godavari,0.0043,0.5
east  west purba purba medinipur,0.0022,0.5
east district,0.0176,0.5
east east jaintia hills,0.0108,0.5
east garo hills,0.034,0.5
east godavari,0.1628,0.6354
east jaintia hills,0.0409,0.5
east kameng,0.0779,0.5
east khasi hills,0.059,0.5
east nimar,0.024,0.5
east siang,0.104,0.5
east uttar kashi pradesh,0.013,0.5
east west singhbhum,0.0022,0.5
entire village,0.0022,0.5
eranakulam,0.5,0.7694
ernakulam,0.2085,0.5
ernakulam ant thiruvananthapuram,0.0022,0.5
ernakulam kannur,0.0022,0.5
erode,0.0506,0.5
etah,0.0987,0.48
etawah,0.2817,0.4059
faizabad,0.0806,0.4629
faridabad,0.1874,0.5
faridkot,0.1611,0.5
farrukhabad,0.216,0.426
fatehabad,0.2345,0.5
fatehgarh sahib,0.0707,0.5
fatehpur,0.2245,0.5162
fazilka,0.1523,0.5
ferozepur,0.0887,0.5
ferozpur,0.5,0.0989
few districts,0.0022,0.5
firozabad,0.1607,0.5
firozpur,0.1712,0.5
gadag,0.103,0.5
gadchiroli,0.1607,0.5
gadchiroli yavotmal,0.0022,0.5
gajapati,0.0621,0.5
ganderbal,0.0814,0.5
gandhinagar,0.0704,0.5
ganganagar,0.1915,0.3423
gangtok,0.0779,0.5
ganjam,0.1329,0.5896
garhwa,0.0267,0.5
garhwal,0.0587,0.7531
gariaband,0.0107,0.5
gautam buddha nagar,0.1616,0.5
gaya,0.1644,0.5749
ghat area,0.0022,0.5
ghaziabad,0.1216,0.5
ghazipur,0.1795,0.5346
ghazipurr,0.0866,0.5
gir somnath,0.0767,0.5
giridih,0.018,0.5
goa,0.0087,0.5
goalpara,0.572,0.6982
godda,0.0195,0.5
golaghat,0.5311,0.5
gomati,0.0944,0.5
gonda,0.2144,0.5512
gondia,0.0866,0.5
gondiya,0.0023,0.5
gopalganj,0.2196,0.5
gorakhpur,0.3521,0.5052
