district,flood_risk,drought_risk
thoothukkudi,0.0437,0.5
thoubal,0.5191,0.5
thrissur,0.2896,0.7401
tikamgarh,0.0339,0.7036
tinsukia,0.2722,0.5
tirap,0.0545,0.5
tiruchirapalli / trichy,0.5,0.5869
tiruchirappalli,0.1214,0.5
tirunelveli,0.0434,0.5
tirupathur,0.0338,0.5
tiruppur,0.0398,0.5
tiruvannamalai,0.0744,0.5
tonk,0.0547,0.7176
tripura,0.0043,0.5
tuensang,0.0159,0.5
tumakuru,0.0791,0.5
tumkur,0.5,0.6026
udaipur,0.0801,0.6481
udaiur,0.0022,0.5
udalguri,0.2222,0.5
udam singh nagar,0.0195,0.5
udham singh nagar,0.027,0.5
udhampur,0.0728,0.5
udupi,0.0846,0.5
ujjain,0.0691,0.7225
ukhrul,0.0228,0.5
umaria,0.0282,0.5
una,0.1129,0.5
unakoti,0.0455,0.5
unnao,0.1717,0.5608
unokoti,0.5,0.5
upper dibang valley,0.0151,0.5
upper lower subansiri,0.0519,0.5
upper siang,0.1003,0.5
upper subansiri,0.0245,0.5
urban,0.0022,0.5
uttar bastar kanker,0.0155,0.5
uttar dinajpur,0.1411,0.5
uttar kashi,0.0043,0.6666
uttar kashi bastar kanker,0.0108,0.5
uttar kashi dinajpur,0.0216,0.5
uttar kashi kashi,0.0541,0.5
uttar kashia,0.0022,0.5
uttar kashia kannada,0.1537,0.5
uttar kashiakhand,0.0065,0.5
uttar pradesh,0.0065,0.5
uttara kannada,0.0512,0.7797
uttarkashi,0.0078,0.5
vadodara,0.1445,0.5
vadodara / baroda,0.5,0.6196
vaishali,0.4544,0.5
valsad,0.1191,0.4515
varanasi,0.1977,0.4932
various  nagaland,0.0022,0.5
vellore,0.0482,0.5
vidisha,0.0676,0.7493
vijayapura,0.0305,0.5
vikarabad,0.0191,0.5
viluppuram,0.1087,0.5
virudhunagar,0.0696,0.5
visakhapatnam,0.0719,0.7886
vizianagaram,0.0535,0.5
wanaparthy,0.1108,0.5
warangal,0.355,0.6358
warangal rural,0.0009,0.5
warangal urban,0.0028,0.5
wardha,0.1652,0.785
washim,0.1688,0.5
wayanad,0.3323,0.5
west,0.1471,0.5
west bengal,0.0043,0.5
west dinajpur,0.5,0.5058
west district,0.0145,0.5
west east jaintia hills,0.0108,0.5
west garo hills,0.0618,0.5
west godavari,0.1615,0.6143
west jaintia hills,0.0348,0.5
west kameng,0.2196,0.5
west karbi anglong,0.1182,0.5
west khasi hills,0.049,0.5
west madhya pradesh,0.0022,0.5
west nimar,0.0267,0.5
west siang,0.0651,0.5
west singhbhum,0.0022,0.5
west tripura,0.0887,0.5
wokha,0.0372,0.5
yadadri bhuvanagiri,0.0159,0.5
yadadri yadadri bhuvanagiri,0.0022,0.5
yadadri yadadri bhuvanagiri yadadri bhuvanagiri,0.0065,0.5
yadgir,0.0726,0.5
yamunanagar,0.1754,0.5
yanam,0.0654,0.5
yavatmal,0.158,0.5
yeotmal,0.5,0.7954
ysr,0.0486,0.5
zunheboto,0.0179,0.5
