district,state,drought_risk,flood_frequency,flooded_area
dhalai,tripura,,23.0,0.336825147
dhamtari,chhattisgarh,,2.0,0.04693727
dhamtari,"madhya pradesh,  chhattisgarh",,1.0,0.04693727
dhanbad,jharkhand,0.7734722111816367,3.0,0.207879548
dhar,"andhra pradesh, madhya pradesh",,1.0,0.327944556
dhar,madhya pradesh,0.776511963418905,16.0,0.327944556
dhar,"madhya pradesh,  chhattisgarh",,2.0,0.327944556
dhar,"madhya pradesh, punjab, haryana, west bengal",,1.0,0.327944556
dhar,"odisha, bihar, uttar pradesh, madhya pradesh, rajasthan, haryana",,1.0,0.327944556
dhar,"rajasthan, bihar, madhya pradesh, gujarat, maharashtra, uttar pradesh",,1.0,0.327944556
dharashiv,"bihar, maharashtra",,1.0,0.0
dharashiv,maharashtra,,41.0,0.0
dharashiv,"maharashtra, telangana",,1.0,0.0
dharashiv,"rajasthan, bihar, madhya pradesh, gujarat, maharashtra, uttar pradesh",,1.0,0.0
dharmapuri,tamil nadu,,15.0,0.244881502
dharwad,karnataka,0.834522340967314,54.0,0.283121417
dharwad,"karnataka, kerala",,1.0,0.283121417
dharwad,"kerala, karnataka",,1.0,0.283121417
dhemaji,assam,,197.0,9.385547809
dhemaji,"assam, odisha, west bengal, bihar",,1.0,9.385547809
dhemaji,"jammu and kashmir, punjab, uttar pradesh, assam,  arunachal pradesh",,1.0,9.385547809
dhemaji,"odisha, bihar, assam, west bengal",,1.0,9.385547809
dhemaji,"uttar pradesh , assam , bihar , west bengal, kerala",,1.0,9.385547809
dhemaji,"uttar pradesh, bihar,  assam",,1.0,9.385547809
dhenkanal,"assam, odisha, west bengal, bihar",,1.0,0.881789412
dhenkanal,"bihar, odisha, west bengal, assam, andhra pradesh",,1.0,0.881789412
dhenkanal,madhya pradesh,,1.0,0.881789412
dhenkanal,odisha,,21.0,0.881789412
dhenkanal,"odisha, bihar, assam, west bengal",,1.0,0.881789412
dhenkanal,"odisha, bihar, uttar pradesh, madhya pradesh, rajasthan, haryana",,1.0,0.881789412
dhenkanal,"odisha, rajasthan",,1.0,0.881789412
dhenkanal,orissa,0.7260449498609366,0.0,0.881789412
dhenkanal,"uttar pradesh, bihar, odisha, west bengal",,1.0,0.881789412
dholpur,"kerala, rajasthan, haryana, uttar pradesh, bihar",,1.0,0.0
dholpur,"odisha, bihar, uttar pradesh, madhya pradesh, rajasthan, haryana",,1.0,0.0
dholpur,"odisha, rajasthan",,1.0,0.0
dholpur,rajasthan,,19.0,0.0
dholpur,"rajasthan, bihar, madhya pradesh, gujarat, maharashtra, uttar pradesh",,1.0,0.0
dholpur,"rajasthan, punjab, uttar pradesh",,1.0,0.0
dhubri,assam,,118.0,9.231447974
dhubri,"assam, odisha, west bengal, bihar",,1.0,9.231447974
dhubri,"jammu and kashmir, punjab, uttar pradesh, assam,  arunachal pradesh",,1.0,9.231447974
dhubri,"odisha, bihar, assam, west bengal",,1.0,9.231447974
dhubri,"uttar pradesh , assam , bihar , west bengal, kerala",,1.0,9.231447974
dhubri,"uttar pradesh, bihar,  assam",,1.0,9.231447974
dhule,"bihar, maharashtra",,1.0,0.227687277
dhule,maharashtra,0.7954729825208579,22.0,0.227687277
dhule,"maharashtra, telangana",,1.0,0.227687277
dhule,"rajasthan, bihar, madhya pradesh, gujarat, maharashtra, uttar pradesh",,1.0,0.227687277
dibang valley,arunachal pradesh,,24.0,0.0
dibang valley,"jammu and kashmir, punjab, uttar pradesh, assam,  arunachal pradesh",,1.0,0.0
dibrugarh,assam,0.7620164658419305,150.0,11.91387334
dibrugarh,"assam, odisha, west bengal, bihar",,1.0,11.91387334
dibrugarh,"jammu and kashmir, punjab, uttar pradesh, assam,  arunachal pradesh",,1.0,11.91387334
dibrugarh,"odisha, bihar, assam, west bengal",,1.0,11.91387334
dibrugarh,"uttar pradesh , assam , bihar , west bengal, kerala",,1.0,11.91387334
dibrugarh,"uttar pradesh, bihar,  assam",,1.0,11.91387334
different parts of jammu,jammu and kashmir,,1.0,0.0
dima hasao,assam,,75.0,1.656871704
dima hasao,"assam, odisha, west bengal, bihar",,1.0,1.656871704
dima hasao,"jammu and kashmir, punjab, uttar pradesh, assam,  arunachal pradesh",,1.0,1.656871704
dima hasao,"odisha, bihar, assam, west bengal",,1.0,1.656871704
dima hasao,"uttar pradesh , assam , bihar , west bengal, kerala",,1.0,1.656871704
dima hasao,"uttar pradesh, bihar,  assam",,1.0,1.656871704
dimapur,nagaland,,3.0,1.716497018
dindigul,tamil nadu,,19.0,0.3793423
dindori,"andhra pradesh, madhya pradesh",,1.0,1.243229343
dindori,madhya pradesh,,9.0,1.243229343
dindori,"madhya pradesh, punjab, haryana, west bengal",,1.0,1.243229343
dindori,"odisha, bihar, uttar pradesh, madhya pradesh, rajasthan, haryana",,1.0,1.243229343
dindori,"rajasthan, bihar, madhya pradesh, gujarat, maharashtra, uttar pradesh",,1.0,1.243229343
districts of cauvery delta,tamil nadu,,1.0,0.0
districts of cauvery delta zone,tamil nadu,,1.0,0.0
doda,jammu & kashmir,,9.0,0.270530155
doda,jammu and kashmir,,22.0,0.270530155
doda,"jammu and kashmir, delhi, punjab",,1.0,0.270530155
doda,"jammu and kashmir, punjab, uttar pradesh, assam,  arunachal pradesh",,1.0,0.270530155
dumka,bihar,,1.0,0.227789055
dumka,"bihar, jharkhand",,1.0,0.227789055
dumka,jharkhand,,2.0,0.227789055
dungarpur,"kerala, rajasthan, haryana, uttar pradesh, bihar",,1.0,0.197777034
dungarpur,"odisha, bihar, uttar pradesh, madhya pradesh, rajasthan, haryana",,1.0,0.197777034
dungarpur,"odisha, rajasthan",,1.0,0.197777034
dungarpur,rajasthan,0.780290949659738,10.0,0.197777034
dungarpur,"rajasthan, bihar, madhya pradesh, gujarat, maharashtra, uttar pradesh",,1.0,0.197777034
dungarpur,"rajasthan, punjab, uttar pradesh",,1.0,0.197777034
durg,chhattisgarh,0.8332958466166888,9.0,0.43075371
durg,madhya pradesh,,4.0,0.43075371
east,andhra pradesh,,1.0,0.1
east,arunachal pradesh,,1.0,0.1
east,"bihar, jharkhand",,1.0,0.1
east,delhi,,14.0,0.1
east,"jammu and kashmir, delhi, punjab",,1.0,0.1
east,sikkim,,1.0,0.1
east & west godavari,andhra pradesh,,2.0,0.0
east & west purba purba medinipur,west bengal,,1.0,0.0
east east jaintia hills,meghalaya,,5.0,0.0
east garo hills,meghalaya,,9.0,0.686378319
east godavari,andhra pradesh,0.7393567502029598,37.0,3.702696517
east godavari,"andhra pradesh, madhya pradesh",,1.0,3.702696517
east godavari,"andhra pradesh, telangana",,1.0,3.702696517
east jaintia hills,meghalaya,,3.0,1.627446553
east kameng,arunachal pradesh,,22.0,1.326925325
east kameng,"jammu and kashmir, punjab, uttar pradesh, assam,  arunachal pradesh",,1.0,1.326925325
east khasi hills,meghalaya,,16.0,1.14976811
east nimar,"andhra pradesh, madhya pradesh",,1.0,0.011130804
east nimar,madhya pradesh,,7.0,0.011130804
east nimar,"madhya pradesh, punjab, haryana, west bengal",,1.0,0.011130804
east nimar,"odisha, bihar, uttar pradesh, madhya pradesh, rajasthan, haryana",,1.0,0.011130804
east nimar,"rajasthan, bihar, madhya pradesh, gujarat, maharashtra, uttar pradesh",,1.0,0.011130804
east siang,arunachal pradesh,,22.0,2.560087006
east siang,"jammu and kashmir, punjab, uttar pradesh, assam,  arunachal pradesh",,1.0,2.560087006
east uttar kashi pradesh,uttar pradesh,,5.0,0.0
east uttar kashi pradesh,"uttar pradesh, uttarakhand",,1.0,0.0
east west singhbhum,jharkhand,,1.0,0.0
entire village,uttarakhand,,1.0,0.0
eranakulam,kerala,0.8346928011518067,0.0,0.0
ernakulam,"karnataka, kerala",,1.0,1.260337983
ernakulam,kerala,,81.0,1.260337983
ernakulam,"kerala, karnataka",,1.0,1.260337983
ernakulam,"kerala, rajasthan, haryana, uttar pradesh, bihar",,1.0,1.260337983
ernakulam ant thiruvananthapuram,kerala,,1.0,0.0
ernakulam kannur,kerala,,1.0,0.0
erode,tamil nadu,,17.0,0.654316232
etah,"bihar, uttar pradesh, west bengal, himachal pradesh",,1.0,1.184889889
etah,"himachal pradesh, uttar pradesh",,1.0,1.184889889
etah,"himachal pradesh, uttar pradesh, bihar,  west bengal",,1.0,1.184889889
etah,"jammu and kashmir, punjab, uttar pradesh, assam,  arunachal pradesh",,1.0,1.184889889
etah,"kerala, rajasthan, haryana, uttar pradesh, bihar",,1.0,1.184889889
etah,"odisha, bihar, uttar pradesh, madhya pradesh, rajasthan, haryana",,1.0,1.184889889
etah,"rajasthan, bihar, madhya pradesh, gujarat, maharashtra, uttar pradesh",,1.0,1.184889889
etah,"rajasthan, punjab, uttar pradesh",,1.0,1.184889889
etah,uttar pradesh,0.6043068824116168,19.0,1.184889889
etah,"uttar pradesh , assam , bihar , west bengal, kerala",,1.0,1.184889889
etah,"uttar pradesh , uttarakhand",,1.0,1.184889889
etah,"uttar pradesh, bihar,  assam",,1.0,1.184889889
etah,"uttar pradesh, bihar, odisha, west bengal",,1.0,1.184889889
etah,"uttar pradesh, east rajasthan",,1.0,1.184889889
etah,"uttar pradesh, uttarakhand",,1.0,1.184889889
etah,"uttar pradesh, west bengal, bihar",,1.0,1.184889889
etawah,"bihar, uttar pradesh, west bengal, himachal pradesh",,1.0,8.501345772
etawah,"himachal pradesh, uttar pradesh",,1.0,8.501345772
etawah,"himachal pradesh, uttar pradesh, bihar,  west bengal",,1.0,8.501345772
etawah,"jammu and kashmir, punjab, uttar pradesh, assam,  arunachal pradesh",,1.0,8.501345772
etawah,"kerala, rajasthan, haryana, uttar pradesh, bihar",,1.0,8.501345772
etawah,"odisha, bihar, uttar pradesh, madhya pradesh, rajasthan, haryana",,1.0,8.501345772
etawah,"rajasthan, bihar, madhya pradesh, gujarat, maharashtra, uttar pradesh",,1.0,8.501345772
etawah,"rajasthan, punjab, uttar pradesh",,1.0,8.501345772
etawah,uttar pradesh,0.549648608358725,32.0,8.501345772
etawah,"uttar pradesh , assam , bihar , west bengal, kerala",,1.0,8.501345772
etawah,"uttar pradesh , uttarakhand",,1.0,8.501345772
etawah,"uttar pradesh, bihar,  assam",,1.0,8.501345772
etawah,"uttar pradesh, bihar, odisha, west bengal",,1.0,8.501345772
etawah,"uttar pradesh, east rajasthan",,1.0,8.501345772
etawah,"uttar pradesh, uttarakhand",,1.0,8.501345772
etawah,"uttar pradesh, west bengal, bihar",,1.0,8.501345772
faizabad,uttar pradesh,0.5936569470438002,0.0,3.807489683
faridabad,haryana,,16.0,6.911149485
faridabad,"kerala, rajasthan, haryana, uttar pradesh, bihar",,1.0,6.911149485
faridabad,"madhya pradesh, punjab, haryana, west bengal",,1.0,6.911149485
faridabad,"odisha, bihar, uttar pradesh, madhya pradesh, rajasthan, haryana",,1.0,6.911149485
faridkot,"jammu and kashmir, delhi, punjab",,1.0,4.441457773
faridkot,"jammu and kashmir, punjab, uttar pradesh, assam,  arunachal pradesh",,1.0,4.441457773
faridkot,"madhya pradesh, punjab, haryana, west bengal",,1.0,4.441457773
faridkot,punjab,,27.0,4.441457773
faridkot,"rajasthan, punjab, uttar pradesh",,1.0,4.441457773
farrukhabad,"bihar, uttar pradesh, west bengal, himachal pradesh",,1.0,6.215089637
farrukhabad,"himachal pradesh, uttar pradesh",,1.0,6.215089637
farrukhabad,"himachal pradesh, uttar pradesh, bihar,  west bengal",,1.0,6.215089637
farrukhabad,"jammu and kashmir, punjab, uttar pradesh, assam,  arunachal pradesh",,1.0,6.215089637
farrukhabad,"kerala, rajasthan, haryana, uttar pradesh, bihar",,1.0,6.215089637
farrukhabad,"odisha, bihar, uttar pradesh, madhya pradesh, rajasthan, haryana",,1.0,6.215089637
farrukhabad,"rajasthan, bihar, madhya pradesh, gujarat, maharashtra, uttar pradesh",,1.0,6.215089637
farrukhabad,"rajasthan, punjab, uttar pradesh",,1.0,6.215089637
farrukhabad,uttar pradesh,0.5635817528198881,23.0,6.215089637
farrukhabad,"uttar pradesh , assam , bihar , west bengal, kerala",,1.0,6.215089637
farrukhabad,"uttar pradesh , uttarakhand",,1.0,6.215089637
farrukhabad,"uttar pradesh, bihar,  assam",,1.0,6.215089637
farrukhabad,"uttar pradesh, bihar, odisha, west bengal",,1.0,6.215089637
farrukhabad,"uttar pradesh, east rajasthan",,1.0,6.215089637
farrukhabad,"uttar pradesh, uttarakhand",,2.0,6.215089637
farrukhabad,"uttar pradesh, west bengal, bihar",,1.0,6.215089637
fatehabad,haryana,,12.0,9.544000142
fatehabad,"kerala, rajasthan, haryana, uttar pradesh, bihar",,1.0,9.544000142
fatehabad,"madhya pradesh, punjab, haryana, west bengal",,1.0,9.544000142
fatehabad,"odisha, bihar, uttar pradesh, madhya pradesh, rajasthan, haryana",,1.0,9.544000142
fatehgarh sahib,"jammu and kashmir, delhi, punjab",,1.0,0.476176498
fatehgarh sahib,"jammu and kashmir, punjab, uttar pradesh, assam,  arunachal pradesh",,1.0,0.476176498
fatehgarh sahib,"madhya pradesh, punjab, haryana, west bengal",,1.0,0.476176498
fatehgarh sahib,punjab,,24.0,0.476176498
fatehgarh sahib,"rajasthan, punjab, uttar pradesh",,1.0,0.476176498
fatehpur,"bihar, uttar pradesh, west bengal, himachal pradesh",,1.0,5.696727002
fatehpur,"himachal pradesh, uttar pradesh",,1.0,5.696727002
fatehpur,"himachal pradesh, uttar pradesh, bihar,  west bengal",,1.0,5.696727002
fatehpur,"jammu and kashmir, punjab, uttar pradesh, assam,  arunachal pradesh",,1.0,5.696727002
fatehpur,"kerala, rajasthan, haryana, uttar pradesh, bihar",,1.0,5.696727002
fatehpur,"odisha, bihar, uttar pradesh, madhya pradesh, rajasthan, haryana",,1.0,5.696727002
fatehpur,"rajasthan, bihar, madhya pradesh, gujarat, maharashtra, uttar pradesh",,1.0,5.696727002
fatehpur,"rajasthan, punjab, uttar pradesh",,1.0,5.696727002
fatehpur,uttar pradesh,0.633112790943577,33.0,5.696727002
fatehpur,"uttar pradesh , assam , bihar , west bengal, kerala",,1.0,5.696727002
fatehpur,"uttar pradesh, bihar,  assam",,1.0,5.696727002
fatehpur,"uttar pradesh, bihar, odisha, west bengal",,1.0,5.696727002
fatehpur,"uttar pradesh, east rajasthan",,1.0,5.696727002
fatehpur,"uttar pradesh, uttarakhand",,2.0,5.696727002
fatehpur,"uttar pradesh, west bengal, bihar",,1.0,5.696727002
fazilka,"jammu and kashmir, delhi, punjab",,1.0,4.742047502
fazilka,"jammu and kashmir, punjab, uttar pradesh, assam,  arunachal pradesh",,1.0,4.742047502
fazilka,"madhya pradesh, punjab, haryana, west bengal",,1.0,4.742047502
fazilka,punjab,,20.0,4.742047502
fazilka,"rajasthan, punjab, uttar pradesh",,1.0,4.742047502
ferozepur,"jammu and kashmir, delhi, punjab",,1.0,0.0
ferozepur,"jammu and kashmir, punjab, uttar pradesh, assam,  arunachal pradesh",,1.0,0.0
ferozepur,"madhya pradesh, punjab, haryana, west bengal",,1.0,0.0
ferozepur,punjab,,37.0,0.0
ferozepur,"rajasthan, punjab, uttar pradesh",,1.0,0.0
ferozpur,punjab,0.3198547947763814,0.0,0.0
few districts,maharashtra,,1.0,0.0
firozabad,"bihar, uttar pradesh, west bengal, himachal pradesh",,1.0,4.216316792
firozabad,"himachal pradesh, uttar pradesh",,1.0,4.216316792
firozabad,"himachal pradesh, uttar pradesh, bihar,  west bengal",,1.0,4.216316792
firozabad,"jammu and kashmir, punjab, uttar pradesh, assam,  arunachal pradesh",,1.0,4.216316792
firozabad,"kerala, rajasthan, haryana, uttar pradesh, bihar",,1.0,4.216316792
firozabad,"odisha, bihar, uttar pradesh, madhya pradesh, rajasthan, haryana",,1.0,4.216316792
firozabad,"rajasthan, bihar, madhya pradesh, gujarat, maharashtra, uttar pradesh",,1.0,4.216316792
firozabad,"rajasthan, punjab, uttar pradesh",,1.0,4.216316792
firozabad,uttar pradesh,,19.0,4.216316792
firozabad,"uttar pradesh , assam , bihar , west bengal, kerala",,1.0,4.216316792
firozabad,"uttar pradesh , uttarakhand",,1.0,4.216316792
firozabad,"uttar pradesh, bihar,  assam",,1.0,4.216316792
firozabad,"uttar pradesh, bihar, odisha, west bengal",,1.0,4.216316792
firozabad,"uttar pradesh, east rajasthan",,1.0,4.216316792
firozabad,"uttar pradesh, west bengal, bihar",,1.0,4.216316792
gadag,karnataka,,38.0,0.773623563
gadag,"karnataka, kerala",,1.0,0.773623563
gadag,"kerala, karnataka",,1.0,0.773623563
gadchiroli,"bihar, maharashtra",,1.0,1.66295656
gadchiroli,maharashtra,,55.0,1.66295656
gadchiroli,"maharashtra, telangana",,1.0,1.66295656
gadchiroli,"rajasthan, bihar, madhya pradesh, gujarat, maharashtra, uttar pradesh",,1.0,1.66295656
gadchiroli yavotmal,maharashtra,,1.0,0.0
gajapati,"assam, odisha, west bengal, bihar",,1.0,0.579527084
gajapati,"bihar, odisha, west bengal, assam, andhra pradesh",,1.0,0.579527084
gajapati,madhya pradesh,,1.0,0.579527084
gajapati,odisha,,16.0,0.579527084
gajapati,"odisha, bihar, assam, west bengal",,1.0,0.579527084
gajapati,"odisha, bihar, uttar pradesh, madhya pradesh, rajasthan, haryana",,1.0,0.579527084
gajapati,"odisha, rajasthan",,1.0,0.579527084
gajapati,"uttar pradesh, bihar, odisha, west bengal",,1.0,0.579527084
ganderbal,jammu & kashmir,,7.0,1.495531299
ganderbal,jammu and kashmir,,14.0,1.495531299
ganderbal,"jammu and kashmir, delhi, punjab",,1.0,1.495531299
ganderbal,"jammu and kashmir, punjab, uttar pradesh, assam,  arunachal pradesh",,1.0,1.495531299
gandhinagar,gujarat,,19.0,1.279892254
gandhinagar,"rajasthan, bihar, madhya pradesh, gujarat, maharashtra, uttar pradesh",,1.0,1.279892254
ganganagar,"kerala, rajasthan, haryana, uttar pradesh, bihar",,1.0,6.595012526
ganganagar,"odisha, bihar, uttar pradesh, madhya pradesh, rajasthan, haryana",,1.0,6.595012526
ganganagar,"odisha, rajasthan",,1.0,6.595012526
ganganagar,rajasthan,0.5045394602526005,19.0,6.595012526
ganganagar,"rajasthan, bihar, madhya pradesh, gujarat, maharashtra, uttar pradesh",,1.0,6.595012526
ganganagar,"rajasthan, punjab, uttar pradesh",,1.0,6.595012526
gangtok,sikkim,,36.0,0.0
ganjam,"assam, odisha, west bengal, bihar",,1.0,2.595362139
ganjam,"bihar, odisha, west bengal, assam, andhra pradesh",,1.0,2.595362139
ganjam,madhya pradesh,,1.0,2.595362139
ganjam,odisha,,29.0,2.595362139
ganjam,"odisha, bihar, assam, west bengal",,1.0,2.595362139
ganjam,"odisha, bihar, uttar pradesh, madhya pradesh, rajasthan, haryana",,1.0,2.595362139
ganjam,"odisha, rajasthan",,1.0,2.595362139
ganjam,orissa,0.6896156095400369,0.0,2.595362139
ganjam,"uttar pradesh, bihar, odisha, west bengal",,1.0,2.595362139
garhwa,jharkhand,,7.0,0.547516784
garhwal,uttar pradesh,,7.0,0.318442467
garhwal,"uttar pradesh, uttarakhand",,3.0,0.318442467
garhwal,uttarakhand,0.8141590993519147,14.0,0.318442467
gautam buddha nagar,"bihar, uttar pradesh, west bengal, himachal pradesh",,1.0,4.668442714
gautam buddha nagar,"himachal pradesh, uttar pradesh",,1.0,4.668442714
gautam buddha nagar,"himachal pradesh, uttar pradesh, bihar,  west bengal",,1.0,4.668442714
gautam buddha nagar,"jammu and kashmir, punjab, uttar pradesh, assam,  arunachal pradesh",,1.0,4.668442714
gautam buddha nagar,"kerala, rajasthan, haryana, uttar pradesh, bihar",,1.0,4.668442714
gautam buddha nagar,"odisha, bihar, uttar pradesh, madhya pradesh, rajasthan, haryana",,1.0,4.668442714
gautam buddha nagar,"rajasthan, bihar, madhya pradesh, gujarat, maharashtra, uttar pradesh",,1.0,4.668442714
gautam buddha nagar,"rajasthan, punjab, uttar pradesh",,1.0,4.668442714
gautam buddha nagar,uttar pradesh,,15.0,4.668442714
gautam buddha nagar,"uttar pradesh , assam , bihar , west bengal, kerala",,1.0,4.668442714
gautam buddha nagar,"uttar pradesh , uttarakhand",,1.0,4.668442714
gautam buddha nagar,"uttar pradesh, bihar,  assam",,1.0,4.668442714
gautam buddha nagar,"uttar pradesh, bihar, odisha, west bengal",,1.0,4.668442714
gautam buddha nagar,"uttar pradesh, east rajasthan",,1.0,4.668442714
gautam buddha nagar,"uttar pradesh, west bengal, bihar",,1.0,4.668442714
gaya,bihar,0.6796678421939853,29.0,3.470539782
gaya,"bihar, maharashtra",,1.0,3.470539782
gaya,"bihar, odisha, west bengal, assam, andhra pradesh",,1.0,3.470539782
gaya,"bihar, uttar pradesh, west bengal, himachal pradesh",,1.0,3.470539782
gaya,"bihar, west bengal",,1.0,3.470539782
gaya,"himachal pradesh, uttar pradesh, bihar,  west bengal",,1.0,3.470539782
gaya,"kerala, rajasthan, haryana, uttar pradesh, bihar",,1.0,3.470539782
gaya,"odisha, bihar, assam, west bengal",,1.0,3.470539782
gaya,"odisha, bihar, uttar pradesh, madhya pradesh, rajasthan, haryana",,1.0,3.470539782
gaya,"rajasthan, bihar, madhya pradesh, gujarat, maharashtra, uttar pradesh",,1.0,3.470539782
gaya,"uttar pradesh , assam , bihar , west bengal, kerala",,1.0,3.470539782
gaya,"uttar pradesh, bihar,  assam",,1.0,3.470539782
gaya,"uttar pradesh, bihar, odisha, west bengal",,1.0,3.470539782
gaya,"west bengal, bihar",,1.0,3.470539782
ghat area,maharashtra,,1.0,0.0
ghaziabad,"bihar, uttar pradesh, west bengal, himachal pradesh",,1.0,2.474121961
ghaziabad,"himachal pradesh, uttar pradesh",,1.0,2.474121961
ghaziabad,"himachal pradesh, uttar pradesh, bihar,  west bengal",,1.0,2.474121961
ghaziabad,"jammu and kashmir, punjab, uttar pradesh, assam,  arunachal pradesh",,1.0,2.474121961
ghaziabad,"kerala, rajasthan, haryana, uttar pradesh, bihar",,1.0,2.474121961
ghaziabad,maharashtra,,1.0,2.474121961
ghaziabad,"odisha, bihar, uttar pradesh, madhya pradesh, rajasthan, haryana",,1.0,2.474121961
ghaziabad,"rajasthan, bihar, madhya pradesh, gujarat, maharashtra, uttar pradesh",,1.0,2.474121961
ghaziabad,"rajasthan, punjab, uttar pradesh",,1.0,2.474121961
ghaziabad,uttar pradesh,,17.0,2.474121961
ghaziabad,"uttar pradesh , assam , bihar , west bengal, kerala",,1.0,2.474121961
ghaziabad,"uttar pradesh , uttarakhand",,1.0,2.474121961
ghaziabad,"uttar pradesh, bihar,  assam",,1.0,2.474121961
ghaziabad,"uttar pradesh, bihar, odisha, west bengal",,1.0,2.474121961
ghaziabad,"uttar pradesh, east rajasthan",,1.0,2.474121961
ghaziabad,"uttar pradesh, west bengal, bihar",,1.0,2.474121961
ghazipur,uttar pradesh,0.6477916722967937,0.0,8.379915091
ghazipur,"uttar pradesh, bihar",,1.0,8.379915091
ghazipurr,"bihar, uttar pradesh, west bengal, himachal pradesh",,1.0,0.0
ghazipurr,"himachal pradesh, uttar pradesh",,1.0,0.0
ghazipurr,"himachal pradesh, uttar pradesh, bihar,  west bengal",,1.0,0.0
ghazipurr,"jammu and kashmir, punjab, uttar pradesh, assam,  arunachal pradesh",,1.0,0.0
ghazipurr,"kerala, rajasthan, haryana, uttar pradesh, bihar",,1.0,0.0
ghazipurr,"odisha, bihar, uttar pradesh, madhya pradesh, rajasthan, haryana",,1.0,0.0
ghazipurr,"rajasthan, bihar, madhya pradesh, gujarat, maharashtra, uttar pradesh",,1.0,0.0
ghazipurr,"rajasthan, punjab, uttar pradesh",,1.0,0.0
ghazipurr,uttar pradesh,,25.0,0.0
ghazipurr,"uttar pradesh , assam , bihar , west bengal, kerala",,1.0,0.0
ghazipurr,"uttar pradesh , uttarakhand",,1.0,0.0
ghazipurr,"uttar pradesh, bihar,  assam",,1.0,0.0
ghazipurr,"uttar pradesh, bihar, odisha, west bengal",,1.0,0.0
ghazipurr,"uttar pradesh, east rajasthan",,1.0,0.0
ghazipurr,"uttar pradesh, uttarakhand",,1.0,0.0
ghazipurr,"uttar pradesh, west bengal, bihar",,1.0,0.0
gir somnath,gujarat,,32.0,0.247012876
gir somnath,"rajasthan, bihar, madhya pradesh, gujarat, maharashtra, uttar pradesh",,1.0,0.247012876
giridih,jharkhand,,4.0,0.442880209
goa,daman and diu,,4.0,0.0
goalpara,assam,0.7729757166597685,135.0,12.6070399
goalpara,"assam, manipur, arunachal pradesh",,1.0,12.6070399
goalpara,"assam, odisha, west bengal, bihar",,1.0,12.6070399
goalpara,"jammu and kashmir, punjab, uttar pradesh, assam,  arunachal pradesh",,1.0,12.6070399
goalpara,"odisha, bihar, assam, west bengal",,1.0,12.6070399
goalpara,"uttar pradesh , assam , bihar , west bengal, kerala",,1.0,12.6070399
goalpara,"uttar pradesh, bihar,  assam",,1.0,12.6070399
godda,bihar,,1.0,0.308989819
godda,"bihar, jharkhand",,1.0,0.308989819
godda,jharkhand,,4.0,0.308989819
golaghat,assam,,127.0,11.59095462
golaghat,"assam, odisha, west bengal, bihar",,1.0,11.59095462
golaghat,"jammu and kashmir, punjab, uttar pradesh, assam,  arunachal pradesh",,1.0,11.59095462
golaghat,"odisha, bihar, assam, west bengal",,1.0,11.59095462
golaghat,"uttar pradesh , assam , bihar , west bengal, kerala",,1.0,11.59095462
golaghat,"uttar pradesh, bihar,  assam",,1.0,11.59095462
gomati,tripura,,19.0,2.517687708
gonda,"bihar, uttar pradesh, west bengal, himachal pradesh",,1.0,2.868823511
gonda,chhattisgarh,,1.0,2.868823511
gonda,"himachal pradesh, uttar pradesh",,1.0,2.868823511
gonda,"himachal pradesh, uttar pradesh, bihar,  west bengal",,1.0,2.868823511
gonda,"jammu and kashmir, punjab, uttar pradesh, assam,  arunachal pradesh",,1.0,2.868823511
gonda,"kerala, rajasthan, haryana, uttar pradesh, bihar",,1.0,2.868823511
gonda,"odisha, bihar, uttar pradesh, madhya pradesh, rajasthan, haryana",,1.0,2.868823511
gonda,"rajasthan, bihar, madhya pradesh, gujarat, maharashtra, uttar pradesh",,1.0,2.868823511
gonda,"rajasthan, punjab, uttar pradesh",,1.0,2.868823511
gonda,uttar pradesh,0.6592759711567926,52.0,2.868823511
gonda,"uttar pradesh , assam , bihar , west bengal, kerala",,1.0,2.868823511
gonda,"uttar pradesh , uttarakhand",,1.0,2.868823511
gonda,"uttar pradesh, bihar",,1.0,2.868823511
gonda,"uttar pradesh, bihar,  assam",,1.0,2.868823511
gonda,"uttar pradesh, bihar, odisha, west bengal",,1.0,2.868823511
gonda,"uttar pradesh, east rajasthan",,1.0,2.868823511
gonda,"uttar pradesh, uttarakhand",,3.0,2.868823511
gonda,"uttar pradesh, west bengal, bihar",,1.0,2.868823511
gondia,"bihar, maharashtra",,1.0,0.0
gondia,maharashtra,,37.0,0.0
gondia,"maharashtra, telangana",,1.0,0.0
gondia,"rajasthan, bihar, madhya pradesh, gujarat, maharashtra, uttar pradesh",,1.0,0.0
gopalganj,bihar,,33.0,5.467595215
gopalganj,"bihar, jharkhand",,2.0,5.467595215
gopalganj,"bihar, maharashtra",,1.0,5.467595215
gopalganj,"bihar, odisha, west bengal, assam, andhra pradesh",,1.0,5.467595215
gopalganj,"bihar, uttar pradesh, west bengal, himachal pradesh",,1.0,5.467595215
gopalganj,"bihar, west bengal",,1.0,5.467595215
gopalganj,"himachal pradesh, uttar pradesh, bihar,  west bengal",,1.0,5.467595215
gopalganj,"kerala, rajasthan, haryana, uttar pradesh, bihar",,1.0,5.467595215
gopalganj,"odisha, bihar, assam, west bengal",,1.0,5.467595215
gopalganj,"odisha, bihar, uttar pradesh, madhya pradesh, rajasthan, haryana",,1.0,5.467595215
gopalganj,"rajasthan, bihar, madhya pradesh, gujarat, maharashtra, uttar pradesh",,1.0,5.467595215
