district,flood_count,flood_risk_freq
thiruvananthapuram,231,1.0
lakhimpur,218,0.9437229437229437
dhemaji,202,0.8744588744588745
kamrup,181,0.7835497835497836
nagaon,178,0.7705627705627706
nagpur,177,0.7662337662337663
mumbai,173,0.7489177489177489
barpeta,165,0.7142857142857143
warangal,164,0.70995670995671
sonitpur,161,0.696969696969697
darrang,157,0.6796536796536796
dibrugarh,155,0.670995670995671
cachar,154,0.6666666666666666
wayanad,149,0.645021645021645
goalpara,141,0.6103896103896104
pune,139,0.6017316017316018
baksa,139,0.6017316017316018
jorhat,136,0.5887445887445888
nalbari,136,0.5887445887445888
marigaon,135,0.5844155844155844
golaghat,132,0.5714285714285714
sivasagar,129,0.5584415584415584
dhubri,123,0.5324675324675324
hamirpur,117,0.5064935064935064
idukki,116,0.5021645021645021
alappuzha,113,0.48917748917748916
kozhikode,113,0.48917748917748916
shimla,113,0.48917748917748916
karimganj,107,0.46320346320346323
kottayam,102,0.44155844155844154
kangra,101,0.43722943722943725
kamrup metro,100,0.4329004329004329
malappuram,97,0.4199134199134199
thane,97,0.4199134199134199
kullu,96,0.4155844155844156
chirang,95,0.41125541125541126
kollam,95,0.41125541125541126
aurangabad,91,0.3939393939393939
kannur,91,0.3939393939393939
thrissur,91,0.3939393939393939
bongaigaon,89,0.3852813852813853
mandi,89,0.3852813852813853
biswanath,87,0.37662337662337664
bengaluru rural,87,0.37662337662337664
nashik,86,0.3722943722943723
hailakandi,85,0.36796536796536794
ernakulam,84,0.36363636363636365
west kameng,83,0.3593073593073593
amravati,80,0.3463203463203463
dima hasao,80,0.3463203463203463
washim,78,0.33766233766233766
tinsukia,78,0.33766233766233766
hojai,77,0.3333333333333333
pathanamthitta,75,0.3246753246753247
majuli,75,0.3246753246753247
dakshina kannada,75,0.3246753246753247
karbi anglong,74,0.3203463203463203
kokrajhar,74,0.3203463203463203
chamba,74,0.3203463203463203
kolkata,73,0.31601731601731603
yavatmal,73,0.31601731601731603
bahraich,72,0.3116883116883117
udalguri,72,0.3116883116883117
uttar kashia kannada,71,0.30735930735930733
gonda,71,0.30735930735930733
bara banki,71,0.30735930735930733
patna,71,0.30735930735930733
darjeeling,71,0.30735930735930733
palakkad,70,0.30303030303030304
wardha,70,0.30303030303030304
sitapur,69,0.2987012987012987
akola,68,0.2943722943722944
purbi champaran,68,0.2943722943722944
kasaragod,67,0.29004329004329005
madhubani,67,0.29004329004329005
darbhanga,67,0.29004329004329005
solan,66,0.2857142857142857
nanded,66,0.2857142857142857
belagavi,65,0.2813852813852814
ballia,65,0.2813852813852814
katihar,65,0.2813852813852814
ratnagiri,65,0.2813852813852814
gorakhpur,64,0.27705627705627706
chandrapur,64,0.27705627705627706
pashchim champaran,64,0.27705627705627706
muzaffarpur,63,0.2727272727272727
sirmaur,63,0.2727272727272727
bilaspur,62,0.2683982683982684
kodagu,61,0.26406926406926406
pratapgarh,61,0.26406926406926406
buldhana,61,0.26406926406926406
sitamarhi,60,0.2597402597402597
beed,60,0.2597402597402597
kinnaur,59,0.2554112554112554
cuttack,58,0.2510822510822511
chennai,58,0.2510822510822511
gadchiroli,58,0.2510822510822511
raichur,58,0.2510822510822511
bhandara,58,0.2510822510822511
kheri,58,0.2510822510822511
ballari,58,0.2510822510822511
samastipur,57,0.24675324675324675
ayodhya,57,0.24675324675324675
prayagraj,56,0.24242424242424243
dharwad,56,0.24242424242424243
deoria,56,0.24242424242424243
basti,56,0.24242424242424243
jalpaiguri,55,0.23809523809523808
varanasi,55,0.23809523809523808
saharsa,55,0.23809523809523808
kolhapur,54,0.23376623376623376
sindhudurg,54,0.23376623376623376
bhagalpur,54,0.23376623376623376
kalaburagi,53,0.22943722943722944
raigarh,53,0.22943722943722944
patiala,53,0.22943722943722944
bengaluru urban,53,0.22943722943722944
ahmedabad,53,0.22943722943722944
baleshwar,53,0.22943722943722944
khagaria,53,0.22943722943722944
azamgarh,52,0.22510822510822512
parbhani,52,0.22510822510822512
junagadh,52,0.22510822510822512
saran,52,0.22510822510822512
lucknow,52,0.22510822510822512
una,52,0.22510822510822512
kanpur nagar dehat,51,0.22077922077922077
kota,51,0.22077922077922077
purnia,51,0.22077922077922077
satara,51,0.22077922077922077
munger,51,0.22077922077922077
south salmara mancachar,51,0.22077922077922077
mysuru,51,0.22077922077922077
bharuch,50,0.21645021645021645
begusarai,50,0.21645021645021645
bhojpur,50,0.21645021645021645
amritsar,49,0.21212121212121213
jammu,48,0.2077922077922078
north  parganas,48,0.2077922077922078
gopalganj,48,0.2077922077922078
fatehpur,48,0.2077922077922078
etawah,47,0.20346320346320346
jaunpur,47,0.20346320346320346
jalgaon,47,0.20346320346320346
jaipur,47,0.20346320346320346
supaul,47,0.20346320346320346
surat,47,0.20346320346320346
mirzapur,47,0.20346320346320346
jalandhar,46,0.19913419913419914
sultanpur,46,0.19913419913419914
south  parganas,46,0.19913419913419914
