State,District,Year,composite_yield_kg_ha,rolling_mean_yield,yield_ratio,flooded_area_pct,damage_label,damage_label_name
Uttarakhand,Chamoli,2016,878.2139999999999,788.0308,1.1144412121962746,0,0,Healthy
Uttarakhand,Chamoli,2017,904.5560000000002,811.232,1.1150398406374504,0,0,Healthy
Uttarakhand,Dehradun,2016,1334.822,1200.482,1.1119050514709925,0,0,Healthy
Uttarakhand,Dehradun,2017,1438.462,1216.2904,1.1826632850181173,0,0,Healthy
Uttarakhand,Garhwal,2016,885.74,758.4684,1.1678007943376416,0,0,Healthy
Uttarakhand,Garhwal,2017,1005.266,802.2268,1.2530945114274417,0,0,Healthy
Uttarakhand,Nainital,2016,1728.6,1742.6347999999998,0.9919462184503604,0,0,Healthy
Uttarakhand,Nainital,2017,1781.5440000000003,1743.4288000000001,1.0218622062455318,0,0,Healthy
Uttarakhand,Pithorgarh,2016,858.106,837.1039999999999,1.0250888778455247,0,0,Healthy
Uttarakhand,Pithorgarh,2017,929.2540000000001,859.8516,1.0807143930417762,0,0,Healthy
Uttarakhand,Tehri Garhwal,2016,935.7239999999999,886.2271999999999,1.055851140655579,0,0,Healthy
Uttarakhand,Tehri Garhwal,2017,1160.5880000000002,914.2352000000001,1.2694632628452722,0,0,Healthy
Uttarakhand,Uttar Kashi,2016,1016.9399999999999,1013.4104,1.0034828930115578,0,0,Healthy
Uttarakhand,Uttar Kashi,2017,1207.9540000000002,1035.9192,1.1660697089116605,0,0,Healthy
West Bengal,24 Parganas,2016,1711.964,1569.1392,1.0910211152713538,0,0,Healthy
West Bengal,24 Parganas,2017,1468.59,1616.4388,0.9085342420634793,0,0,Healthy
West Bengal,Bankura,2016,1668.5639999999999,1579.4204,1.0564407044508226,0,0,Healthy
West Bengal,Bankura,2017,1581.7400000000002,1612.3011999999999,0.9810449809254005,0,0,Healthy
West Bengal,Birbhum,2016,1697.9560000000001,1530.2036,1.1096275031636313,0,0,Healthy
West Bengal,Birbhum,2017,1661.414,1586.212,1.0474098039858482,0,0,Healthy
West Bengal,Burdwan,2016,1508.2379999999998,1593.6724,0.9463914917520062,0,0,Healthy
West Bengal,Burdwan,2017,1581.2540000000001,1596.812,0.990256836747219,0,0,Healthy
West Bengal,Cooch Behar,2016,2022.1620000000003,2163.0504,0.9348658727508153,0,0,Healthy
